date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:46:42	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Jun%202025%2014:46:42%20GMT	https://haliyikatma.com/robots.txt		(from )
17:46:43	78702/78702	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2012:49:57%20GMT	https://haliyikatma.com/	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/index.html	(from )
17:46:43	4158/4158	---M--	200	added ('OK')	image/x-icon	date:Fri,%2028%20Mar%202025%2006:08:38%20GMT	https://haliyikatma.com/assets/img/favicon.ico	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/assets/img/favicon.ico	(from https://haliyikatma.com/)
17:46:43	150853/150853	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Apr%202025%2012:51:58%20GMT	https://haliyikatma.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/assets/css/bootstrap.min.css	(from https://haliyikatma.com/)
17:46:43	512286/512286	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Apr%202025%2012:52:00%20GMT	https://haliyikatma.com/assets/css/fontawesome.min.css	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/assets/css/fontawesome.min.css	(from https://haliyikatma.com/)
17:46:43	5014/5014	---M-Z	200	added ('OK')	text/css	date:Mon,%2022%20Jul%202024%2018:26:44%20GMT	https://haliyikatma.com/assets/css/magnific-popup.min.css	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/assets/css/magnific-popup.min.css	(from https://haliyikatma.com/)
17:46:44	1180/1180	---M-Z	200	added ('OK')	text/css	date:Mon,%2022%20Jul%202024%2018:26:44%20GMT	https://haliyikatma.com/assets/css/slick.min.css	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/assets/css/slick.min.css	(from https://haliyikatma.com/)
17:46:44	71750/71750	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Jan%202025%2010:28:06%20GMT	https://haliyikatma.com/assets/css/animate.min.css	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/assets/css/animate.min.css	(from https://haliyikatma.com/)
17:46:44	193140/193140	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Jun%202025%2019:25:00%20GMT	https://haliyikatma.com/assets/css/style.css	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/assets/css/style.css	(from https://haliyikatma.com/)
17:46:45	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/haliyikatma/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://haliyikatma.com/)
17:46:45	20325/20325	---M--	200	added ('OK')	image/png	date:Fri,%2030%20May%202025%2013:55:48%20GMT	https://haliyikatma.com/assets/img/logo-white.png	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/assets/img/logo-white.png	(from https://haliyikatma.com/)
17:46:45	78702/78702	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2012:49:57%20GMT	https://haliyikatma.com/index.html	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/index-2.html	(from https://haliyikatma.com/)
17:46:45	21249/21249	---M--	200	added ('OK')	image/png	date:Fri,%2030%20May%202025%2013:59:32%20GMT	https://haliyikatma.com/assets/img/logo-dark.png	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/assets/img/logo-dark.png	(from https://haliyikatma.com/)
17:46:45	40730/40730	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2012:49:55%20GMT	https://haliyikatma.com/hakkimizda.html	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/hakkimizda.html	(from https://haliyikatma.com/)
17:46:45	59779/59779	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2012:50:32%20GMT	https://haliyikatma.com/zekeriyakoy.html	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/zekeriyakoy.html	(from https://haliyikatma.com/)
17:46:46	60071/60071	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2012:49:33%20GMT	https://haliyikatma.com/besiktas.html	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/besiktas.html	(from https://haliyikatma.com/)
17:46:46	59914/59914	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2012:50:19%20GMT	https://haliyikatma.com/sisli.html	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/sisli.html	(from https://haliyikatma.com/)
17:46:46	59997/59997	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2012:50:16%20GMT	https://haliyikatma.com/sariyer.html	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/sariyer.html	(from https://haliyikatma.com/)
17:46:46	60027/60027	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2012:49:45%20GMT	https://haliyikatma.com/esenyurt.html	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/esenyurt.html	(from https://haliyikatma.com/)
17:46:46	59997/59997	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2012:49:57%20GMT	https://haliyikatma.com/halkali.html	C:/My%20Web%20Sites/haliyikatma/haliyikatma.com/halkali.html	(from https://haliyikatma.com/)
